C0274714,Adrenergic syndrome
C0018772,"Hearing Loss, Partial"
C0041466,Typhoid Fever
C0684249,Carcinoma of lung
C0032961,Pregnancy
C0947912,Myasthenias
C0003578,Apnea
C1328504,Hormone-refractory prostate cancer
C0332601,Cushingoid facies
C0027726,Nephrotic Syndrome
C0600125,Electrocardiogram PR prolongation
C0027720,Nephrosis
C0043352,Xerostomia
C0393761,Middle insomnia
C0236826,Expressive language disorder
C0231835,Tachypnea
C0740425,Altered Taste
C0232831,Hyposthenuria
C0854530,Human herpesvirus 6 infection
C0080274,Urinary Retention
C0271298,Chemosis
C0012359,Pathological Dilatation
C0271051,Macular retinal edema
C1320474,Nuchal Rigidity
C0235240,Pounding heart
C0027651,Neoplasms
C0002170,Alopecia
C0428977,Bradycardia
C0852388,Visual colour distortions
C0032781,Posterior rhinorrhea
C1527407,Eosinophilic Pneumonia
C0151934,Hypogeusia
C0009443,Common Cold
C0151936,Tendon disorder
C0151937,Tendon rupture
C0038454,Cerebrovascular accident
C0038450,Stridor
C0151752,FEMALE LACTATION
C0035258,Restless Legs Syndrome
C0151205,Periorbital oedema
C0031190,Persistent Fetal Circulation Syndrome
C3665418,Labile hypertension
C0041601,Ulna Fractures
C0235025,Peripheral motor neuropathy
C0023434,Chronic Lymphocytic Leukemia
C0856623,Orofacial oedema
C0151686,Growth retardation
C1527311,Brain Edema
C0151689,Hair discoloration
C0235750,Hypertension worsened
C0011849,Diabetes Mellitus
C0006277,Bronchitis
C0085740,Mendelson Syndrome
C0016053,Fibromyalgia
C0278106,Ejaculation failure
C0020569,Salivary gland enlargement
C0233973,Painful erection
C0020564,Hypertrophy
C0948807,Hepatic impairment
C0848309,Rhinitis perennial
C0038587,Substance Withdrawal Syndrome
C0233407,Disorientation
C0233401,Psychiatric symptom
C0003028,Anhidrosis
C0027080,Myoglobinuria
C0855227,Purging
C0427108,General unsteadiness
C1112709,Non-gonococcal urethritis (NGU)
C0085692,Cystitis haemorrhagic
C1956346,Coronary Artery Disease
C0546947,Choking sensation
C0030552,Paresis
C0424109,Weepiness
C0030554,Paresthesia
C0278079,Dependence psychological
C0037672,Somnambulism
C0854069,Tumor pain
C0149756,"Fasciitis, Plantar"
C3203661,Bilirubin total low
C0086981,Sicca Syndrome
C0233571,Excitement emotion
C0023890,Liver Cirrhosis
C0023895,Liver diseases
C0221423,Illness (finding)
C0030486,Paraplegia
C0234376,Action Tremor
C0040896,Trichinellosis
C0541832,Chromaturia
C0423153,Lacrimation
C0235807,Hair texture abnormal
C0851341,Infestation
C0549209,Feeling jittery
